Taxon Name,Taxonomic Serial Number (TSN),Parent Taxonomic Serial Number (TSN),Taxon Group,Taxon Level,AphiaID,NADED ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon Citations,Preferred Source,Former or Invalid Name,Common Name,Alternate Name,NODC Code,Xerces Code,Active
"Rutiderma apex","684265",""," Invertebrates","Species","451282","","Animalia","Arthropoda","Ostracoda","Myodocopida","Rutidermatidae","Rutiderma","apex","WoRMS (2010). Rutiderma apex Kornicker & Harrison-Nelson, 1997. In: Brandão, S. N.; Angel, M. V.; Karanovic, I.; Parker, A.; Perrier, V. & Yasuhara, M. (2016) World Ostracoda Database. Accessed through: World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=451282 on 2016-05-10","WORMS","","",""," 6111060189","","Y"
"Rutiderma lomae","84346",""," Invertebrates","Species","451297","","Animalia","Arthropoda","Ostracoda","Myodocopida","Rutidermatidae","Rutiderma","lomae","Brandão, S. (2014). Rutiderma lomae (Juday, 1907) Kornicker & Myers, 1981. In: Brandão, S. N.; Angel, M. V.; Karanovic, I.; Parker, A.; Perrier, V. & Yasuhara, M. (2016) World Ostracoda Database. Accessed through: World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=451297 on 2016-05-10","WORMS","","","","","","Y"
"Sabellidae","68076",""," Invertebrates","Family","985","","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","","","Read, G. (2010). Sabellidae Latreille, 1825. In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=985 on 2016-05-10","WORMS","","","","","","Y"
"Sabellinae","",""," Invertebrates","Family","154917","","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","","","Read, G. (2010). Sabellinae Chamberlin, 1919. In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=154917 on 2016-05-10","WORMS","","","","","","Y"
"Saccella cellulita","",""," Invertebrates","Genus","129274","","Animalia","Mollusca","Bivalvia","Nuculanida","Nuculanidae","Nuculana","cellulita","Sartori, André F. (2016). Nuculana (Saccella) cellulita (Dall, 1896). In:  MolluscaBase (2015). Accessed through: World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=866912 on 2016-05-10","WORMS"," Nuculana cellulita","","","","","Y"
"Saccella penderi","",""," Invertebrates","Species","600477","","Animalia","Mollusca","Bivalvia","Nuculanida","Nuculanidae","Saccella","penderi","Bouchet, P. (2015). Saccella penderi. In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=600477 on 2016-05-10","WORMS","","","","","","Y"
"Saccella taphria","",""," Invertebrates","Species","600467","","Animalia","Mollusca","Bivalvia","Nuculanida","Nuculanidae","Saccella","taphria","Bouchet, P. (2015). Saccella taphria. In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=600467 on 2016-05-10","WORMS","","","","","","Y"
"Saccocirridae","68414",""," Invertebrates","Family","995","","Animalia","Annelida","Polychaeta","Not assigned","Saccocirridae","","","WoRMS (2008). Saccocirridae Czerniavsky, 1881. In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=995 on 2016-05-10","WORMS","","",""," 500204","","Y"
"Saccocirrus","68415",""," Invertebrates","Genus","129550","","Animalia","Annelida","Polychaeta","Not assigned","Saccocirridae","Saccocirrus","","Bellan, G. (2008). Saccocirrus Bobretzky, 1872. In: Read, G.; Fauchald, K. (Ed.) (2016). World Polychaeta database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=129550 on 2016-05-10","WORMS","","","","","","Y"
"Saccoglossus","158624",""," Invertebrates","Genus","137590","","Animalia","Hemichordata","Enteropneusta","[unassigned] Enteropneusta","Harrimaniidae","Saccoglossus","","Konikoff, C.; van der Land, J. (2011). Saccoglossus Schimkewitsch, 1892. In: Shenkar, N.; Swalla, B.J.; van der Land, J. (2016). Hemichordata World Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=137590 on 2016-05-10","WORMS","","",""," 82010103","","Y"
